Grondsoort,Ensemble,Jaar,Langste uitvalperiode (dagen),Totaal dagen onder TAW,Eerste dag onder TAW,Laatste dag onder TAW,Vegetatie-uitval,LivingPlantCover (%)
zand,7,2041,47,132,2041-03-27,2041-09-22,Ja,0.0
zand,0,2042,19,90,2042-04-10,2042-11-14,Nee,82.17
zand,1,2042,19,90,2042-04-10,2042-11-14,Nee,82.17
zand,2,2042,29,108,2042-04-07,2042-10-06,Nee,58.47
zand,3,2042,37,134,2042-03-17,2042-11-17,Nee,32.4
zand,4,2042,22,108,2042-04-16,2042-10-26,Nee,76.1
zand,5,2042,20,128,2042-04-01,2042-10-29,Nee,80.25
zand,6,2042,36,120,2042-04-02,2042-10-22,Nee,36.0
zand,7,2042,44,113,2042-03-24,2042-10-10,Nee,4.4
zand,0,2043,28,131,2043-03-26,2043-10-24,Nee,61.28
zand,1,2043,28,131,2043-03-26,2043-10-24,Nee,61.28
zand,2,2043,52,151,2043-03-20,2043-10-28,Ja,0.0
zand,3,2043,19,87,2043-04-27,2043-10-14,Nee,82.17
zand,4,2043,47,137,2043-03-17,2043-11-16,Ja,0.0
zand,5,2043,19,102,2043-04-07,2043-10-25,Nee,82.17
zand,6,2043,40,130,2043-04-01,2043-10-07,Nee,20.99
zand,7,2043,46,110,2043-04-13,2043-10-15,Ja,0.0
zand,0,2044,44,113,2044-04-14,2044-10-14,Nee,4.4
zand,1,2044,44,113,2044-04-14,2044-10-14,Nee,4.4
zand,2,2044,26,109,2044-03-25,2044-10-04,Nee,66.62
zand,3,2044,46,156,2044-04-16,2044-11-08,Ja,0.0
zand,4,2044,51,115,2044-04-07,2044-09-22,Ja,0.0
zand,5,2044,35,124,2044-04-02,2044-11-27,Nee,39.51
zand,6,2044,19,89,2044-03-31,2044-11-02,Nee,82.17
zand,7,2044,37,94,2044-03-28,2044-10-06,Nee,32.4
zand,0,2045,54,130,2045-03-08,2045-10-24,Ja,0.0
zand,1,2045,54,130,2045-03-08,2045-10-24,Ja,0.0
zand,2,2045,17,80,2045-04-14,2045-10-18,Nee,85.73
zand,3,2045,32,100,2045-03-22,2045-11-07,Nee,49.43
zand,4,2045,38,169,2045-03-12,2045-11-10,Nee,28.69
zand,5,2045,23,130,2045-03-08,2045-10-17,Nee,73.88
zand,6,2045,15,101,2045-04-08,2045-10-23,Nee,88.89
zand,7,2045,27,91,2045-04-01,2045-10-07,Nee,64.0
zand,0,2046,39,137,2046-03-31,2046-12-03,Nee,24.89
zand,1,2046,39,137,2046-03-31,2046-12-03,Nee,24.89
zand,2,2046,30,92,2046-04-15,2046-11-15,Nee,55.56
zand,3,2046,32,114,2046-04-04,2046-10-08,Nee,49.43
zand,4,2046,47,147,2046-04-01,2046-11-11,Ja,0.0
zand,5,2046,40,115,2046-04-29,2046-11-18,Nee,20.99
zand,6,2046,27,108,2046-04-08,2046-10-17,Nee,64.0
zand,7,2046,15,98,2046-04-12,2046-10-16,Nee,88.89
zand,0,2047,32,84,2047-04-17,2047-09-10,Nee,49.43
zand,1,2047,32,84,2047-04-17,2047-09-10,Nee,49.43
zand,2,2047,27,100,2047-04-11,2047-09-23,Nee,64.0
zand,3,2047,24,139,2047-04-02,2047-10-09,Nee,71.56
zand,4,2047,33,130,2047-04-08,2047-11-19,Nee,46.22
zand,5,2047,30,111,2047-03-22,2047-10-04,Nee,55.56
zand,6,2047,25,131,2047-04-03,2047-10-13,Nee,69.14
zand,7,2047,39,149,2047-03-25,2047-11-25,Nee,24.89
zand,0,2048,25,93,2048-04-05,2048-10-06,Nee,69.14
zand,1,2048,25,93,2048-04-05,2048-10-06,Nee,69.14
zand,2,2048,25,139,2048-03-13,2048-10-08,Nee,69.14
zand,3,2048,18,91,2048-04-03,2048-10-13,Nee,84.0
zand,4,2048,27,95,2048-04-10,2048-09-24,Nee,64.0
zand,5,2048,18,101,2048-04-05,2048-11-08,Nee,84.0
zand,6,2048,16,95,2048-04-05,2048-09-25,Nee,87.36
zand,7,2048,29,78,2048-03-14,2048-09-14,Nee,58.47
zand,0,2049,44,130,2049-04-07,2049-10-26,Nee,4.4
zand,1,2049,44,130,2049-04-07,2049-10-26,Nee,4.4
zand,2,2049,26,96,2049-04-03,2049-10-07,Nee,66.62
zand,3,2049,24,153,2049-04-12,2049-12-06,Nee,71.56
zand,4,2049,42,141,2049-03-28,2049-10-22,Nee,12.89
zand,5,2049,24,153,2049-04-12,2049-12-06,Nee,71.56
zand,6,2049,43,129,2049-03-27,2049-09-23,Nee,8.69
zand,7,2049,44,117,2049-04-18,2049-11-24,Nee,4.4
zand,0,2050,34,130,2050-04-02,2050-10-04,Nee,42.91
zand,1,2050,34,130,2050-04-02,2050-10-04,Nee,42.91
zand,2,2050,33,100,2050-02-27,2050-10-18,Nee,46.22
zand,3,2050,22,126,2050-03-27,2050-11-14,Nee,76.1
zand,4,2050,22,120,2050-04-04,2050-11-26,Nee,76.1
zand,5,2050,30,128,2050-03-26,2050-09-29,Nee,55.56
zand,6,2050,22,120,2050-04-04,2050-11-26,Nee,76.1
zand,7,2050,16,78,2050-03-23,2050-08-25,Nee,87.36
zand,0,2051,22,110,2051-04-04,2051-09-24,Nee,76.1
zand,1,2051,22,110,2051-04-04,2051-09-24,Nee,76.1
zand,2,2051,71,127,2051-04-05,2051-10-22,Ja,0.0
zand,3,2051,45,168,2051-04-10,2051-12-05,Nee,0.0
zand,4,2051,38,135,2051-04-10,2051-11-12,Nee,28.69
zand,5,2051,29,110,2051-04-01,2051-10-24,Nee,58.47
zand,6,2051,38,135,2051-04-10,2051-11-12,Nee,28.69
zand,7,2051,29,137,2051-04-04,2051-10-24,Nee,58.47
zand,0,2052,20,105,2052-03-24,2052-10-03,Nee,80.25
zand,1,2052,20,105,2052-03-24,2052-10-03,Nee,80.25
zand,2,2052,44,100,2052-03-19,2052-09-20,Nee,4.4
zand,3,2052,12,99,2052-04-20,2052-11-11,Nee,92.89
zand,4,2052,14,80,2052-04-07,2052-11-04,Nee,90.32
zand,5,2052,42,145,2052-04-14,2052-11-25,Nee,12.89
zand,6,2052,14,80,2052-04-07,2052-11-04,Nee,90.32
zand,7,2052,28,100,2052-04-29,2052-11-03,Nee,61.28
zand,0,2053,24,104,2053-04-02,2053-10-03,Nee,71.56
zand,1,2053,24,104,2053-04-02,2053-10-03,Nee,71.56
zand,2,2053,35,126,2053-03-19,2053-10-15,Nee,39.51
zand,3,2053,18,85,2053-04-17,2053-11-09,Nee,84.0
zand,4,2053,55,129,2053-03-16,2053-10-17,Ja,0.0
zand,5,2053,64,126,2053-04-14,2053-10-06,Ja,0.0
zand,6,2053,55,129,2053-03-16,2053-10-17,Ja,0.0
zand,7,2053,53,116,2053-04-23,2053-11-01,Ja,0.0
zand,0,2054,41,132,2054-03-24,2054-10-15,Nee,16.99
zand,1,2054,41,132,2054-03-24,2054-10-15,Nee,16.99
zand,2,2054,24,128,2054-04-19,2054-10-12,Nee,71.56
zand,3,2054,37,118,2054-03-31,2054-11-14,Nee,32.4
zand,4,2054,24,128,2054-04-19,2054-10-12,Nee,71.56
zand,5,2054,36,155,2054-03-17,2054-10-30,Nee,36.0
zand,6,2054,25,131,2054-04-01,2054-11-14,Nee,69.14
zand,7,2054,20,107,2054-04-12,2054-10-11,Nee,80.25
zand,0,2055,54,112,2055-04-03,2055-10-13,Ja,0.0
zand,1,2055,54,112,2055-04-03,2055-10-13,Ja,0.0
zand,2,2055,30,102,2055-04-02,2055-11-06,Nee,55.56
zand,3,2055,28,140,2055-03-20,2055-11-05,Nee,61.28
zand,4,2055,44,156,2055-04-02,2055-11-17,Nee,4.4
zand,5,2055,25,113,2055-03-19,2055-10-20,Nee,69.14
zand,6,2055,29,122,2055-03-31,2055-10-26,Nee,58.47
zand,7,2055,22,118,2055-04-02,2055-11-09,Nee,76.1
zand,0,2056,25,112,2056-04-07,2056-10-10,Nee,69.14
zand,1,2056,25,112,2056-04-07,2056-10-10,Nee,69.14
zand,2,2056,37,118,2056-03-30,2056-11-07,Nee,32.4
zand,3,2056,35,168,2056-03-08,2056-10-30,Nee,39.51
zand,4,2056,42,135,2056-03-14,2056-11-02,Nee,12.89
zand,5,2056,24,120,2056-03-15,2056-09-14,Nee,71.56
zand,6,2056,28,110,2056-04-02,2056-10-06,Nee,61.28
zand,7,2056,30,101,2056-04-16,2056-10-23,Nee,55.56
zand,0,2057,22,58,2057-05-12,2057-10-13,Nee,76.1
zand,1,2057,22,58,2057-05-12,2057-10-13,Nee,76.1
zand,2,2057,32,136,2057-04-09,2057-11-18,Nee,49.43
zand,3,2057,27,116,2057-03-30,2057-11-21,Nee,64.0
zand,4,2057,19,82,2057-04-23,2057-10-04,Nee,82.17
zand,5,2057,20,102,2057-04-17,2057-09-30,Nee,80.25
zand,6,2057,17,75,2057-04-05,2057-10-14,Nee,85.73
zand,7,2057,43,119,2057-04-23,2057-10-11,Nee,8.69
zand,0,2058,22,145,2058-04-07,2058-12-25,Nee,76.1
zand,1,2058,22,145,2058-04-07,2058-12-25,Nee,76.1
zand,2,2058,21,98,2058-04-07,2058-10-05,Nee,78.22
zand,3,2058,44,129,2058-04-12,2058-10-19,Nee,4.4
zand,4,2058,23,95,2058-04-24,2058-09-28,Nee,73.88
zand,5,2058,29,138,2058-03-09,2058-11-19,Nee,58.47
zand,6,2058,15,72,2058-04-06,2058-09-26,Nee,88.89
zand,7,2058,48,103,2058-04-12,2058-10-25,Ja,0.0
zand,0,2059,19,101,2059-04-16,2059-10-25,Nee,82.17
zand,1,2059,19,101,2059-04-16,2059-10-25,Nee,82.17
zand,2,2059,34,138,2059-03-25,2059-10-16,Nee,42.91
zand,3,2059,62,153,2059-04-12,2059-10-24,Ja,0.0
zand,4,2059,32,110,2059-04-05,2059-10-12,Nee,49.43
zand,5,2059,18,91,2059-03-25,2059-10-27,Nee,84.0
zand,6,2059,23,100,2059-03-27,2059-09-25,Nee,73.88
zand,7,2059,18,104,2059-04-05,2059-12-09,Nee,84.0
zand,0,2060,46,144,2060-04-02,2060-11-06,Ja,0.0
zand,1,2060,46,144,2060-04-02,2060-11-06,Ja,0.0
zand,2,2060,28,104,2060-04-03,2060-09-17,Nee,61.28
zand,3,2060,34,157,2060-04-10,2060-12-02,Nee,42.91
zand,4,2060,22,129,2060-04-18,2060-11-20,Nee,76.1
zand,5,2060,41,146,2060-03-04,2060-11-04,Nee,16.99
zand,6,2060,32,115,2060-03-21,2060-11-18,Nee,49.43
zand,7,2060,31,112,2060-03-05,2060-10-17,Nee,52.54
zand,0,2061,16,101,2061-04-03,2061-10-05,Nee,87.36
zand,1,2061,16,101,2061-04-03,2061-10-05,Nee,87.36
zand,2,2061,37,112,2061-03-10,2061-11-14,Nee,32.4
zand,3,2061,44,128,2061-03-30,2061-11-24,Nee,4.4
zand,4,2061,25,116,2061-04-12,2061-10-09,Nee,69.14
zand,5,2061,19,127,2061-04-10,2061-10-24,Nee,82.17
zand,6,2061,26,124,2061-04-02,2061-11-04,Nee,66.62
zand,7,2061,43,159,2061-04-02,2061-10-25,Nee,8.69
zand,0,2062,18,97,2062-03-21,2062-10-17,Nee,84.0
zand,1,2062,18,97,2062-03-21,2062-10-17,Nee,84.0
zand,2,2062,73,169,2062-03-20,2062-11-14,Ja,0.0
zand,3,2062,44,101,2062-04-03,2062-11-15,Nee,4.4
zand,4,2062,15,101,2062-04-15,2062-10-06,Nee,88.89
zand,5,2062,32,117,2062-04-10,2062-11-02,Nee,49.43
zand,6,2062,36,112,2062-03-10,2062-10-03,Nee,36.0
zand,7,2062,42,96,2062-03-11,2062-11-04,Nee,12.89
